id,genre,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
6YJdPrH3i2POzu7hdHIRrb,dance pop,54,170933,0.748,0.778,0,0.284,-5.752,1,0.137,95.989,0.777
3h1EREJfCwyv6cG7CGak5d,adult standards,47,147226,0.478,0.542,0,0.0839,-10.135,1,0.0367,167.486,0.821
2eLPefNqdtcTN1pCEqlrWr,a cappella,56,265400,0.216,0.428,0,0.102,-7.742,1,0.0362,128.298,0.168
2SBr3MK1sdMs8IxdRcN6qz,australian dance,42,201653,0.675,0.384,0,0.167,-7.12,1,0.045,86.953,0.415
1GQ3cCJMAhLqWARyVZWxnO,adult standards,49,172173,0.513,0.156,0,0.322,-13.668,1,0.0717,207.975,0.589
1Qi2wh8fFgDV7tl4Sj3f2K,dance pop,55,170964,0.438,0.178,0,0.316,-9.402,1,0.0414,75.248,0.344
2mvabkN1i2gLnGAPUVdwek,pop,58,228026,0.598,0.68,0,0.324,-4.505,1,0.0331,134.002,0.437
2OQ6a4CfUeYskpTTgyawyJ,dance pop,54,156773,0.635,0.87,0,0.118,-4.291,0,0.04,93,0.912
1SV1fxF65n9NhRHp3KlBuu,album rock,60,227653,0.774,0.511,0,0.0672,-8.914,1,0.0319,94.736,0.771
72HP2M4jjw4t0AIGdEVGEF,contemporary country,51,203880,0.694,0.769,0,0.0976,-4.665,1,0.0325,93.033,0.663
6s2wpWPFPAgKg2LXxi1Oee,classic rock,52,267600,0.357,0.668,1.37E-06,0.727,-8.444,1,0.0479,139.986,0.407
6keKIzkXWdbwJWMBJQUwYl,adult standards,48,161373,0.176,0.153,0.00012,0.158,-15.969,1,0.0365,84.741,0.157
